序号,电影名称,豆瓣评分,豆瓣评论数
1,肖申克的救赎,9.7,2992760
2,霸王别姬,9.6,2211167
3,阿甘正传,9.5,2229959
4,泰坦尼克号,9.5,2267207
5,千与千寻,9.4,2312959
6,这个杀手不太冷,9.4,2360872
7,美丽人生,9.5,1365754
8,星际穿越,9.4,1926681
9,盗梦空间,9.4,2133445
10,辛德勒的名单,9.5,1153888
11,楚门的世界,9.4,1784924
12,忠犬八公的故事,9.4,1434362
13,海上钢琴师,9.3,1726567
14,三傻大闹宝莱坞,9.2,1914026
15,放牛班的春天,9.3,1354429
16,机器人总动员,9.3,1358315
17,疯狂动物城,9.2,2019933
18,无间道,9.3,1415129
19,控方证人,9.6,599740
20,大话西游之大圣娶亲,9.2,1578531
21,熔炉,9.4,959741
22,教父,9.3,1002694
23,触不可及,9.3,1162448
24,当幸福来敲门,9.2,1564208
25,寻梦环游记,9.1,1753840
26,末代皇帝,9.3,922869
27,龙猫,9.2,1303508
28,怦然心动,9.1,1889369
29,活着,9.3,879331
30,哈利·波特与魔法石,9.2,1244650
31,蝙蝠侠：黑暗骑士,9.2,1097424
32,指环王3：王者无敌,9.3,831587
33,我不是药神,9,2171122
34,乱世佳人,9.3,715094
35,飞屋环游记,9.1,1371423
36,素媛,9.3,710850
37,十二怒汉,9.4,512914
38,哈尔的移动城堡,9.1,1064889
39,让子弹飞,9,1756659
40,何以为家,9.1,1077959
41,摔跤吧！爸爸,9,1614686
42,猫鼠游戏,9.1,1073470
43,天空之城,9.2,910293
44,鬼子来了,9.3,649177
45,海蒂和爷爷,9.3,656447
46,少年派的奇幻漂流,9.1,1386935
47,钢琴家,9.3,669134
48,大话西游之月光宝盒,9,1257182
49,指环王2：双塔奇兵,9.2,780615
50,闻香识女人,9.1,921940
51,死亡诗社,9.2,761364
52,绿皮书,8.9,1711237
53,罗马假日,9.1,976046
54,大闹天宫,9.4,456520
55,天堂电影院,9.2,695453
56,黑客帝国,9.1,864768
57,指环王1：护戒使者,9.1,876573
58,教父2,9.3,574261
59,狮子王,9.1,875293
60,辩护人,9.2,607645
61,饮食男女,9.2,644969
62,搏击俱乐部,9,875645
63,本杰明·巴顿奇事,9,1016261
