电影名称,豆瓣评论数,豆瓣评分
集体回忆 - 张国荣 集體回憶 - 張國榮,753,9.3
坐在人生边上 杨绛,47,9.2
俞净意公遇灶神记,141,9.2
妙先生之火泽睽笑人传,141,9.1
霸王别姬,1069,9.1
背靠背脸对脸,8616,9.1
花为媒,1118,9.1
粉墨春秋,122,9.1
电影带你去旅行,122,9.1
战马 National Theatre Live: War Horse,130,9
流浪狗小黄的故事,102,9
遥望南方的童年,218,9
大冰的小屋,92,9
陈景润,64,9
古剑奇谭2：永夜初晗,271,8.9
未尽之路 未盡之路,305,8.9
龙斌大话电影,735,8.9
逆,690,8.8
扬子江大鳄 Crocodile in the Yangtze,620,8.8
出路,299,8.7
聚焦,85,8.7
归来的局外人,324,8.6
大明宫,7346,8.6
东邪西毒：终极版 東邪西毒終極版,79666,8.6
爱与狗同行 愛與狗同行,902,8.6
张纯如——南京大屠杀 張純如,2881,8.6
变脸,12925,8.6
恐怖分子 恐怖份子,10653,8.6
走四方,148,8.6
西藏一年 A Year in Tibet,2294,8.6
你见过这样的赌鬼吗？,136,8.6
电影眼看中国,49,8.6
上海老爵士 As Time Goes by in Shanghai,301,8.5
小人国,899,8.5
同学,242,8.5
天水围的日与夜 天水圍的日與夜,65051,8.5
请为我投票 Please Vote for Me,14694,8.5
情归周恩来,183,8.5
帝国的兴衰,525,8.5
舌尖上的新年,15417,8.4
精诚大医,81,8.4
钱学森,122,8.4
鲜花,463,8.4
彼岸,2206,8.4
艾草,4984,8.4
香巴拉信使,953,8.4
开水要烫，姑娘要壮,175,8.4
侠女 俠女,6223,8.4
还卜琴父以美丽,136,8.4
宗师之路,2220,8.4
武松与潘金莲,151,8.4
暖春,3766,8.4
卢浮宫之旅 Une visite au Louvre,675,8.4
摇摇晃晃的人间,89,8.3
寻味“左宗棠鸡” The Search for General Tso,233,8.3
飞鱼秀,1075,8.3
我和我的伙伴,89,8.3
孙子从美国来,24645,8.3
你还可爱么 你還可愛麼,6841,8.3
无蝉的夏天,1126,8.3
豆满江 ???,119,8.3
待业青年,22544,8.3
再见北京,147,8.3
童年的收音机,226,8.3
廉吏于成龙,157,8.3
太平天国 太平。天國,402,8.3
405谋杀案,4119,8.3
坏诗人,68,8.3
最后的和弦,209,8.3
望长安,157,8.3
索玛花开的季节 索瑪花開的季節,43,8.3
水问,194,8.3
青年电影馆 第一季,126,8.3
亲兄弟,91,8.3
假凤虚凰,126,8.3
红跑道,1251,8.3
电影公嗨课,303,8.3
暴走看啥片,350,8.3
狼踪,159,8.2
地狱之旅：一个电影人的长征,579,8.2
八十一枚金币,93,8.2
蓝学校,450,8.2
游园惊梦,843,8.2
爸...你好吗？ 爸... 你好嗎？,7057,8.2
匿名游戏 匿名遊戲,988,8.2
一年到头,3881,8.2
南京 Nanking,14514,8.2
迎春阁之风波 迎春閣之風波,2016,8.2
董夫人,751,8.2
新局长到来之前,466,8.2
大地 The Good Earth,519,8.2
盘丝洞,544,8.2
毛嗑儿,307,8.2
老安,99,8.2
玉石传奇,160,8.2
暮鼓晨钟,66,8.2
师父,125898,8.1
路灯下的小女孩,203,8.1
邋遢大王奇遇记,6340,8.1
不要摄像机,642,8.1
横平竖直,99,8.1
滚拉拉的枪,1002,8.1
那时的他们,684,8.1
人造风景 Manufactured Landscapes,2729,8.1
恋爱与义务,402,8.1
老年男女,90,8.1
是梦 是夢,969,8.1
红楼梦 新版越剧《红楼梦》,183,8.1
新10放,134,8.1
家庭计划,86,8.1
鲫鱼,127,8.1
山中故事,199,8
东北花泽类之起幺蛾子,74,8
侠僧探案传奇之大夜叉,2276,8
魁拔Ⅲ战神崛起,17004,8
风晴雪回忆录,221,8
流浪33天,1778,8
巅峰记忆,142,8
我爱你妈妈 Wo ai ni mommy,67,8
碧罗雪山,1682,8
哈尔滨·回旋阶梯,93,8
志同志 誌同志,2165,8
人民至上,140,8
清水的故事,126,8
立春,60415,8
秋决,676,8
秋雨,795,8
小说,2628,8
童年的最后一个夏天,249,8
喊山,1155,7.9
绝世高手,16750,7.9
台湾人在满洲国 台灣人在滿洲國,55,7.9
我的渡口,67,7.9
北京鼠族 “ネズミ族”と呼ばれて～北京?地下住人の日々～,349,7.9
